id,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
128,Fearless,21,4CHpVfAhuxNJ3ibExe6kxO,You All Over Me (feat. Maren Morris) (From The Vault),spotify:track:4CHpVfAhuxNJ3ibExe6kxO,0.816,0.599,0.494,0.0,0.101,-7.61,0.0372,142.893,0.44,65
129,Fearless,22,2CYVETnhM9aytqrazYYwrK,Mr. Perfectly Fine (From The Vault),spotify:track:2CYVETnhM9aytqrazYYwrK,0.162,0.66,0.817,0.0,0.0667,-6.269,0.0521,135.942,0.714,77
130,Fearless,23,34V9RiEPe8MNdU32qJsJa1,We Were Happy (From The Vault),spotify:track:34V9RiEPe8MNdU32qJsJa1,0.849,0.609,0.373,0.0,0.0779,-8.819,0.0263,106.007,0.13,68
131,Fearless,24,7eResoqEJJAVTkQYSqvO3P,That's When (feat. Keith Urban) (From The Vault),spotify:track:7eResoqEJJAVTkQYSqvO3P,0.225,0.588,0.608,0.0,0.092,-7.062,0.0365,90.201,0.508,69
132,Fearless,25,4uuEGH5SVuzkkSFjo2DEiY,Don't You (From The Vault),spotify:track:4uuEGH5SVuzkkSFjo2DEiY,0.514,0.563,0.473,1.2e-05,0.109,-11.548,0.0503,101.934,0.405,69
133,Fearless,26,4qUijfYU8EoIWiY6oSyrgT,Bye Bye Baby (From The Vault),spotify:track:4qUijfYU8EoIWiY6oSyrgT,0.334,0.624,0.624,0.0,0.0995,-7.86,0.0539,80.132,0.527,67
134,evermore,1,2gVhfX2Gy1T9kDuS9azrF7,willow,spotify:track:2gVhfX2Gy1T9kDuS9azrF7,0.833,0.392,0.574,0.00179,0.145,-9.195,0.17,81.112,0.529,74
135,evermore,2,1gcyHQpBQ1lfXGdhZmWrHP,champagne problems,spotify:track:1gcyHQpBQ1lfXGdhZmWrHP,0.92,0.462,0.24,0.0,0.113,-12.077,0.0377,171.319,0.32,75
136,evermore,3,3Dby3p1m6IOZn2gIIqECgK,gold rush,spotify:track:3Dby3p1m6IOZn2gIIqECgK,0.83,0.512,0.462,0.166,0.121,-10.491,0.0408,112.05,0.353,72
137,evermore,4,6sQckd3Z8NPxVVKUnavY1F,‘tis the damn season,spotify:track:6sQckd3Z8NPxVVKUnavY1F,0.735,0.575,0.434,6.59e-05,0.105,-8.193,0.0312,145.916,0.348,73
